Run	LibrarySource	Organism	Bases	env_biome	env_feature	env_material	host_sex	SCiMS_sex	SCiMS_reads_mapped	SCiMS_reads_mapped_to_X	SCiMS_reads_mapped_to_Y	SCiMS_male_post_prob	SCiMS_female_post_prob	Status
ERR5395797	METAGENOMIC	Mus musculus	4455683600				female	female	2394170.0	128252.0	21.0	0.01	0.99	
ERR5411941	METAGENOMIC	Mus musculus	4227881200				female	female	2394567.0	129269.0	72.0	0.009	0.991	
ERR5411888	METAGENOMIC	Mus musculus	4417248800				female	female	2415965.0	130064.0	58.0	0.01	0.99	
ERR1762136	METAGENOMIC	mouse gut metagenome	2902845242				female	female	2474882.0	130733.0	112.0	0.011	0.989	
ERR1762135	METAGENOMIC	mouse gut metagenome	2914822024				female	female	2477402.0	131256.0	107.0	0.011	0.989	
ERR1762138	METAGENOMIC	mouse gut metagenome	2909114918				female	female	2477787.0	131565.0	117.0	0.011	0.989	
ERR1762137	METAGENOMIC	mouse gut metagenome	2917833440				female	female	2478496.0	131285.0	115.0	0.011	0.989	
ERR1762116	METAGENOMIC	mouse gut metagenome	2969037410				female	female	2526561.0	138524.0	86.0	0.008	0.992	
ERR1762118	METAGENOMIC	mouse gut metagenome	2978156902				female	female	2535920.0	138720.0	77.0	0.009	0.991	
ERR1762115	METAGENOMIC	mouse gut metagenome	2984756646				female	female	2536799.0	138403.0	70.0	0.009	0.991	
ERR1762117	METAGENOMIC	mouse gut metagenome	2982028434				female	female	2540672.0	138801.0	72.0	0.009	0.991	
ERR5388653	METAGENOMIC	Mus musculus	3165349200				female	female	2584329.0	138503.0	38.0	0.01	0.99	
ERR5395820	METAGENOMIC	Mus musculus	5323427800				female	female	2702417.0	146509.0	139.0	0.009	0.991	
ERR5416162	METAGENOMIC	Mus musculus	4663367000				male	male	2707690.0	75696.0	3811.0	1.0	0.0	
ERR5396045	METAGENOMIC	Mus musculus	2864402400				male	male	2869851.0	78256.0	3429.0	1.0	0.0	
ERR5415055	METAGENOMIC	Mus musculus	5832414000				male	male	3137390.0	88298.0	3938.0	1.0	0.0	
ERR5416251	METAGENOMIC	Mus musculus	4887287000				female	female	3221457.0	175613.0	193.0	0.009	0.991	
ERR5396667	METAGENOMIC	Mus musculus	3548050800				female	female	3334284.0	179897.0	124.0	0.009	0.991	
ERR5397583	METAGENOMIC	Mus musculus	4097505600				female	female	3589596.0	188740.0	83.0	0.012	0.988	
ERR5407964	METAGENOMIC	Mus musculus	3830628000				male	male	3825099.0	106536.0	4288.0	1.0	0.0	
ERR5415064	METAGENOMIC	Mus musculus	4335890600				female	female	4065704.0	219651.0	34.0	0.01	0.99	
ERR5416255	METAGENOMIC	Mus musculus	3770515600				male	male	4175288.0	116186.0	5219.0	1.0	0.0	
ERR1762124	METAGENOMIC	mouse gut metagenome	3199926036				female	female	4303940.0	239356.0	168.0	0.008	0.992	
ERR1762123	METAGENOMIC	mouse gut metagenome	3210810402				female	female	4306869.0	239341.0	163.0	0.008	0.992	
ERR1762126	METAGENOMIC	mouse gut metagenome	3204575268				female	female	4313167.0	239804.0	191.0	0.008	0.992	
ERR1762125	METAGENOMIC	mouse gut metagenome	3208026034				female	female	4316890.0	239781.0	177.0	0.008	0.992	
ERR5411943	METAGENOMIC	Mus musculus	5529306800				male	male	5001452.0	138626.0	6096.0	1.0	0.0	
ERR5396014	METAGENOMIC	Mus musculus	4836505600				male	male	5195394.0	142229.0	5908.0	1.0	0.0	
ERR1762100	METAGENOMIC	mouse gut metagenome	3131848400				female	female	5368612.0	285057.0	184.0	0.011	0.989	
ERR1762102	METAGENOMIC	mouse gut metagenome	3133047472				female	female	5369047.0	284924.0	170.0	0.011	0.989	
ERR1762099	METAGENOMIC	mouse gut metagenome	3146360888				female	female	5375196.0	284678.0	163.0	0.011	0.989	
ERR1762101	METAGENOMIC	mouse gut metagenome	3139644186				female	female	5380648.0	285271.0	186.0	0.011	0.989	
ERR5396012	METAGENOMIC	Mus musculus	3789563800				female	female	5777905.0	310166.0	282.0	0.01	0.99	
ERR1762112	METAGENOMIC	mouse gut metagenome	3449365736				female	female	6520125.0	371108.0	282.0	0.007	0.993	
ERR1762114	METAGENOMIC	mouse gut metagenome	3457889732				female	female	6527273.0	371114.0	274.0	0.007	0.993	
ERR1762111	METAGENOMIC	mouse gut metagenome	3464519170				female	female	6535834.0	372753.0	298.0	0.007	0.993	
ERR5414703	METAGENOMIC	Mus musculus	4232521600				female	female	6539356.0	356299.0	64.0	0.009	0.991	
ERR1762113	METAGENOMIC	mouse gut metagenome	3464520786				female	female	6543056.0	373260.0	294.0	0.007	0.993	
ERR5396009	METAGENOMIC	Mus musculus	4010337800				female	female	7036803.0	380272.0	320.0	0.009	0.991	
ERR1762108	METAGENOMIC	mouse gut metagenome	3273298092				female	female	7488762.0	401736.0	337.0	0.01	0.99	
ERR1762110	METAGENOMIC	mouse gut metagenome	3281950964				female	female	7492580.0	402863.0	325.0	0.01	0.99	
ERR1762107	METAGENOMIC	mouse gut metagenome	3288994502				female	female	7498134.0	401576.0	349.0	0.01	0.99	
ERR1762109	METAGENOMIC	mouse gut metagenome	3285185792				female	female	7504507.0	402141.0	320.0	0.01	0.99	
ERR5411940	METAGENOMIC	Mus musculus	3814435200				male	male	7922751.0	218817.0	10753.0	1.0	0.0	
ERR1762132	METAGENOMIC	mouse gut metagenome	2906819996				female	female	8041754.0	232091.0	297.0	0.168	0.832	
ERR1762134	METAGENOMIC	mouse gut metagenome	2912339848				female	female	8042807.0	231605.0	267.0	0.168	0.832	
ERR1762131	METAGENOMIC	mouse gut metagenome	2919231482				female	female	8054254.0	232070.0	298.0	0.168	0.832	
ERR1762133	METAGENOMIC	mouse gut metagenome	2916544276				female	female	8057831.0	232545.0	248.0	0.167	0.833	
ERR5416173	METAGENOMIC	Mus musculus	4747679800				female	female	9232608.0	496919.0	434.0	0.01	0.99	
ERR5415063	METAGENOMIC	Mus musculus	3185204200				male	male	9654331.0	268734.0	12180.0	1.0	0.0	
ERR5411937	METAGENOMIC	Mus musculus	5288042600				female	female	11447302.0	624703.0	242.0	0.009	0.991	
ERR5396010	METAGENOMIC	Mus musculus	4027556600				male	male	12636897.0	353766.0	15900.0	1.0	0.0	
ERR5411939	METAGENOMIC	Mus musculus	3998650400				female	female	13021455.0	699344.0	512.0	0.01	0.99	
ERR5395819	METAGENOMIC	Mus musculus	3257908800				male	male	14570997.0	404582.0	18617.0	1.0	0.0	
ERR5396157	METAGENOMIC	Mus musculus	6380170200				female	female	15414811.0	827240.0	246.0	0.01	0.99	
