Run	Rx	Rx 95% CI	Ry	Ry 95% CI
ERR1762098	0.8129	"(0.803, 0.823)"	0.0007	"(0.001, 0.001)"
ERR1762095	0.8115	"(0.801, 0.821)"	0.0006	"(0.0, 0.001)"
ERR1762097	0.8075	"(0.798, 0.817)"	0.0004	"(0.0, 0.001)"
ERR5415061	0.8549	"(0.846, 0.864)"	0.0004	"(0.0, 0.001)"
ERR5396015	0.8177	"(0.807, 0.828)"	0.0003	"(0.0, 0.0)"
ERR5416045	0.415	"(0.41, 0.42)"	0.0416	"(0.04, 0.044)"
ERR5396612	0.4209	"(0.416, 0.426)"	0.047	"(0.045, 0.049)"
ERR5416123	0.8654	"(0.855, 0.875)"	0.0003	"(0.0, 0.0)"
ERR5388651	0.4182	"(0.413, 0.423)"	0.0475	"(0.046, 0.049)"
ERR5396855	0.4223	"(0.418, 0.427)"	0.0477	"(0.046, 0.05)"
ERR5416253	0.8176	"(0.807, 0.828)"	0.0004	"(0.0, 0.0)"
ERR5395818	0.8161	"(0.806, 0.826)"	0.0002	"(0.0, 0.0)"
ERR1762092	0.8019	"(0.792, 0.812)"	0.0006	"(0.0, 0.001)"
ERR1762091	0.8029	"(0.793, 0.813)"	0.0004	"(0.0, 0.001)"
ERR1762094	0.8054	"(0.795, 0.816)"	0.0005	"(0.0, 0.001)"
ERR1762093	0.8066	"(0.796, 0.817)"	0.0007	"(0.001, 0.001)"
ERR5414702	0.4136	"(0.409, 0.418)"	0.0463	"(0.045, 0.048)"
ERR5395780	0.4246	"(0.42, 0.429)"	0.0423	"(0.041, 0.044)"
ERR5414393	0.835	"(0.825, 0.845)"	0.0005	"(0.0, 0.001)"
ERR5395797	0.8223	"(0.812, 0.832)"	0.0002	"(0.0, 0.0)"
ERR5411941	0.8297	"(0.82, 0.84)"	0.0006	"(0.0, 0.001)"
ERR5411888	0.8273	"(0.817, 0.837)"	0.0004	"(0.0, 0.001)"
ERR1762136	0.8106	"(0.8, 0.821)"	0.0009	"(0.001, 0.001)"
ERR1762135	0.813	"(0.803, 0.823)"	0.0008	"(0.001, 0.001)"
ERR1762138	0.815	"(0.805, 0.825)"	0.0009	"(0.001, 0.001)"
ERR1762137	0.813	"(0.803, 0.823)"	0.0009	"(0.001, 0.001)"
ERR1762116	0.843	"(0.833, 0.853)"	0.0006	"(0.0, 0.001)"
ERR1762118	0.8412	"(0.832, 0.85)"	0.0006	"(0.0, 0.001)"
ERR1762115	0.8386	"(0.829, 0.848)"	0.0005	"(0.0, 0.001)"
ERR1762117	0.8397	"(0.83, 0.849)"	0.0005	"(0.0, 0.001)"
ERR5388653	0.8234	"(0.813, 0.834)"	0.0003	"(0.0, 0.0)"
ERR5395820	0.8336	"(0.824, 0.843)"	0.0009	"(0.001, 0.001)"
ERR5416162	0.4188	"(0.414, 0.424)"	0.0479	"(0.046, 0.049)"
ERR5396045	0.4081	"(0.403, 0.413)"	0.042	"(0.041, 0.043)"
ERR5415055	0.4216	"(0.417, 0.427)"	0.0427	"(0.041, 0.044)"
ERR5416251	0.8382	"(0.829, 0.847)"	0.0011	"(0.001, 0.001)"
ERR5396667	0.8293	"(0.819, 0.839)"	0.0007	"(0.001, 0.001)"
