sample	sex_karyotype
S20M350	XX
S20M400	XY
S20M450	XY
S20M1000	XY
S20M5000	XY
S20M10000	XY
S20M100000	XY
S20M1000000	XY
S21F150	uncertain
S21F200	XX
S21F250	XX
S21F300	XX
S21F350	XX
S21F400	XX
S21F450	XX
S21F1000	XX
S21F5000	XX
S21F10000	XX
S21F100000	XX
S21F1000000	XX
S21M150	XY
S21M200	uncertain
S21M250	XY
S21M300	XY
S21M350	XY
S21M400	XY
S21M450	XY
S21M1000	XY
S21M5000	XY
S21M10000	XY
S21M100000	XY
S21M1000000	XY
S22F150	uncertain
S22F200	uncertain
S22F250	uncertain
S22F300	uncertain
S22F350	XX
S22F400	XX
S22F450	XX
S22F1000	XX
S22F5000	XX
S22F10000	XX
S22F100000	XX
S22F1000000	XX
S22M150	XY
S22M200	uncertain
S22M250	uncertain
S22M300	XY
S22M350	XY
S22M400	XY
S22M450	XY
S22M1000	XY
S22M5000	XY
S22M10000	XY
S22M100000	XY
S22M1000000	XY
S23F150	XX
S23F200	XX
S23F250	uncertain
S23F300	uncertain
S23F350	XX
S23F400	XX
S23F450	uncertain
S23F1000	XX
S23F5000	XX
S23F10000	XX
S23F100000	XX
S23F1000000	XX
S23M150	uncertain
S23M200	uncertain
S23M250	XY
S23M300	uncertain
S23M350	XY
S23M400	XY
S23M450	XY
S23M1000	XY
S23M5000	XY
S23M10000	XY
S23M100000	XY
S23M1000000	XY
S24F150	uncertain
S24F200	XX
S24F250	uncertain
S24F300	uncertain
S24F350	XX
S24F400	XX
S24F450	XX
S24F1000	XX
S24F5000	XX
S24F10000	XX
S24F100000	XX
S24F1000000	XX
S24M150	uncertain
S24M200	uncertain
S24M250	uncertain
S24M300	XY
S24M350	XY
S24M400	XY
S24M450	XY
S24M1000	XY
S24M5000	XY
S24M10000	XY
S24M100000	XY
S24M1000000	XY
S25F150	XX
S25F200	XX
S25F250	XX
S25F300	XX
S25F350	XX
S25F400	XX
S25F450	uncertain
S25F1000	XX
S25F5000	XX
S25F10000	XX
S25F100000	XX
S25F1000000	XX
S25M150	XY
S25M200	uncertain
S25M250	XY
S25M300	XY
S25M350	XY
S25M400	XY
S25M450	XY
S25M1000	XY
S25M5000	XY
S25M10000	XY
S25M100000	XY
S25M1000000	XY
S26F150	uncertain
S26F200	uncertain
S26F250	XX
S26F300	XX
S26F350	XX
S26F400	uncertain
S26F450	XX
S26F1000	XX
S26F5000	XX
S26F10000	XX
S26F100000	XX
S26F1000000	XX
S26M200	uncertain
S26M250	XY
S26M300	uncertain
S26M350	uncertain
S26M400	XY
S26M450	XY
S26M1000	XY
S26M5000	XY
S26M10000	XY
S26M100000	XY
S26M1000000	XY
S27F150	uncertain
S27F200	XX
S27F250	XX
S27F300	uncertain
S27F350	XX
S27F400	XX
S27F450	XX
S27F1000	XX
S27F5000	XX
S27F10000	XX
S27F100000	XX
S27F1000000	XX
S27M150	uncertain
S27M200	uncertain
S27M250	XY
S27M300	XY
S27M350	uncertain
S27M400	XY
S27M450	XY
S27M1000	XY
S27M5000	XY
S27M10000	XY
S27M100000	XY
S27M1000000	XY
S28F150	uncertain
S28F200	uncertain
S28F250	uncertain
S28F300	XX
S28F350	XX
S28F400	XX
S28F450	XX
S28F1000	XX
S28F5000	XX
S28F10000	XX
S28F100000	XX
S28F1000000	XX
S28M150	uncertain
S28M200	uncertain
S28M250	XY
S28M300	uncertain
S28M350	XY
S28M400	uncertain
S28M450	XY
S28M1000	XY
S28M5000	XY
S28M10000	XY
S28M100000	XY
S28M1000000	XY
S29F150	XX
S29F200	uncertain
S29F250	uncertain
S29F300	XX
S29F350	XX
S29F400	XX
S29F450	XX
S29F1000	XX
S29F5000	XX
S29F10000	XX
S29F100000	XX
S29F1000000	XX
S29M150	XY
S29M200	XY
S29M250	uncertain
S29M300	XY
S29M350	XY
S29M400	uncertain
S29M450	XY
S29M1000	XY
S29M5000	XY
S29M10000	XY
S29M100000	XY
S29M1000000	XY
S30F150	uncertain
S30F200	XX
S30F250	XX
S30F300	XX
S30F350	XX
S30F400	XX
S30F450	XX
S30F1000	XX
S30F5000	XX
S30F10000	XX
S30F100000	XX
S30F1000000	XX
S30M150	uncertain
S30M200	XY
S30M250	uncertain
S30M300	XY
S30M350	uncertain
S30M400	XY
S30M450	XY
S30M1000	XY
S30M5000	XY
S30M10000	XY
S30M100000	XY
S30M1000000	XY
S31F150	uncertain
S31F200	uncertain
S31F250	uncertain
S31F300	uncertain
S31F350	XX
S31F400	XX
S31F450	XX
S31F1000	XX
S31F5000	XX
S31F10000	XX
S31F100000	XX
S31F1000000	XX
S31M150	XY
S31M200	XY
S31M250	XY
