sample	sex_karyotype
E_S12M450_hf0.10	XY
E_S12M450_hf0.50	XY
E_S12M450_hf0.95	XY
E_S12M450_hf1	XY
E_S13F10000_hf0.001	XX
E_S13F10000_hf0.01	XX
E_S13F10000_hf0.10	XX
E_S13F10000_hf0.50	XX
E_S13F10000_hf0.95	XX
E_S13F10000_hf1	XX
E_S13F1000_hf0.001	XX
E_S13F1000_hf0.01	XX
E_S13F1000_hf0.10	XX
E_S13F1000_hf0.50	XX
E_S13F1000_hf0.95	XX
E_S13F1000_hf1	XX
E_S13F150_hf0.001	XX
E_S13F150_hf0.01	XX
E_S13F150_hf0.10	XX
E_S13F150_hf0.50	XX
E_S13F150_hf0.95	XX
E_S13F150_hf1	XX
E_S13F250_hf0.001	XX
E_S13F250_hf0.01	XX
E_S13F250_hf0.10	XX
E_S13F250_hf0.50	XX
E_S13F250_hf0.95	XX
E_S13F250_hf1	XX
E_S13F350_hf0.001	XX
E_S13F350_hf0.01	XX
E_S13F350_hf0.10	XX
E_S13F350_hf0.50	XX
E_S13F350_hf0.95	XX
E_S13F350_hf1	XX
E_S13F450_hf0.001	XX
E_S13F450_hf0.01	XX
E_S13F450_hf0.10	XX
E_S13F450_hf0.50	XX
E_S13F450_hf0.95	XX
E_S13F450_hf1	XX
E_S13M10000_hf0.001	XY
E_S13M10000_hf0.01	XY
E_S13M10000_hf0.10	XY
E_S13M10000_hf0.50	XY
E_S13M10000_hf0.95	XY
E_S13M10000_hf1	XY
E_S13M1000_hf0.001	XY
E_S13M1000_hf0.01	XY
E_S13M1000_hf0.10	XY
E_S13M1000_hf0.50	XY
E_S13M1000_hf0.95	XY
E_S13M1000_hf1	XY
E_S13M150_hf0.001	XY
E_S13M150_hf0.01	XY
E_S13M150_hf0.10	XY
E_S13M150_hf0.50	XY
E_S13M150_hf0.95	XY
E_S13M150_hf1	XY
E_S13M250_hf0.001	uncertain
E_S13M250_hf0.01	uncertain
E_S13M250_hf0.10	uncertain
E_S13M250_hf0.50	uncertain
E_S13M250_hf0.95	uncertain
E_S13M250_hf1	uncertain
E_S13M350_hf0.001	XY
E_S13M350_hf0.01	XY
E_S13M350_hf0.10	XY
E_S13M350_hf0.50	XY
E_S13M350_hf0.95	XY
E_S13M350_hf1	XY
E_S13M450_hf0.001	XY
E_S13M450_hf0.01	XY
E_S13M450_hf0.10	XY
E_S13M450_hf0.50	XY
E_S13M450_hf0.95	XY
E_S13M450_hf1	XY
E_S14F10000_hf0.001	XX
